ablation,абляция (таяние ледников)
curie,кюри (единица радиоактивности)
current,"течение, поток"
current changes,текущие изменения
current status of environment present-day,современное состояние окружающей среды
current meter,вертушка гидрологическая
curtain grouting,противофильтрационная завеса
cut-off wall,противофильтрационная стенка
curve,кривая
subsidence curve,кривая оседания
time-settlement curve,кривая осадки во времени
load-settlement curve,кривая осадки под нагрузкой
compression curve,кривая уплотнения
decompression curve,кривая разгрузки
curve,излучина (реки)
cut,выемка
cutting ring,режущее кольцо
cutting edge,режущее кольцо
cutting shoe,режущее кольцо
cycle,цикл
cyclic loading,циклическая нагрузка
cyclic tests,циклические испытания
cyclon,циклон
cylinder strength,прочность на одноосное сжатие
dam,"плотина, запруда"
dam core,ядро плотины
damage,повреждение
damage calculation,расчет ущерба
damp,влажный
dangerous,опасный
darcy,дарси (единица проницаемости)
dash,примесь
data bank,банк данных
data of previous years,материалы прошлых лет
database,база данных
data unit,датчик
dating,датировка
absolute dating,абсолютная датировка
debit,дебит
debris,"мусор, обломки"
debris flow,курум (каменный поток)
decomposition,разложение
deconsolidation,разуплотнение
decontamination,дезактивация
decontamination of surface,дезактивация поверхности
decontamination factor,коэффициент дезактивации
define,определять
definition,определение
degree,степень
degree of saturation,степень водонасыщения
deflation,развевание
deformability,деформируемость
deformation modulus,модуль деформации
plastic strain,пластическая деформация
degradation,деградация
delineate,"прочерчивать, прослеживать"
delivery duct,продуктопровод
delta,дельта
demography,демография
demping,затухание
denomination,наименование
density,плотность
density of mineral part (specific gravity),плотность частиц грунта
denudation,денудация
denudative plain,денудационная равнина
dependancy,зависимость
depletion,истощение
deployment,развертывание
deposits,отложения
deprecated,недопустимый
depression,"впадина, понижение, прогиб"
depth of foundation,глубина заложения фундамента
depth of frost penetration,глубина промерзания
freezing depth,глубина промерзания
descending,нисходящий
description,описание
desert,пустыня
desertification,опустынивание
desiccation,высыхание
design,проект
design basis accident,проектная авария
Design Basis Earthquake,проектное землетрясение
DBE,проектное землетрясение
design decisions,проектные решения
design soil property indicator,расчетный показатель
designate,назначать
"designation, indication",указание
desk study,предпроектные проработки
de-stressed zone,зона разгрузки (грунта)
destroy,разрушать
failure,разрушение
destruction,"уничтожение, разрушение"
waste destruction,уничтожение отходов
detachment,"отседание (отрыв, откалывание склона)"
detail,детализировать
detect,"обнаруживать, диагностировать"
detector,датчик
detecting device,датчик
deterioration,"разрушение, износ"
determine,определять
determination,определение
deterrent tax,плата за загрязнение среды
detoxication,детоксикация
detritus,детрит
dew,роса
dewatering,осушение
diagram,"диаграмма, график"
load consolidation diagram,график осадки
differential settlement,неравномерная осадка
degree of difficulty,степень сложности
dike,дайка
dike,"запруда, плотина"
diking,обвалование
dilatometer,дилатометр
dimensions,размеры
dip meter,уровнемер
dip-slip fault,сброс (тект.)
direct simple shear test,срез одноплоскостной
direction,направление
disaster,"катастрофа, бедствие"
disastrous flood,катастрофический паводок (наводнение)
discharge,"излияние, выброс жидкости, разгрузка (подземных вод)"
discharge area,область разгрузки
discharge zone,зона разгрузки (подземных вод)
ground water discharge,сток грунтовых вод
rate of ground water discharge,модуль подземного стока
discharge into water body,сброс (вещества в водный объект)
discharge section line,гидрометрический створ
discontinuity,разрыв сплошности
discordance,несогласие
discordant bedding,несогласное залегание
discrepancy,расхождение
divergence,расхождение
disease,заболевание
disinfection,обеззараживание
disjunctive,дизъюнктивный
dislocation,дислокация
dismantle,демонтировать
dispersion,"дисперсия, распространение"
dispersion halo,ореол рассеяния
displacement,"смещение, размещение"
surface displacement,смещение поверхности
dissolution,выщелачивание
dissolved,растворенный
dissolved oxygen,растворенный кислород
distance,расстояние
distinguish,отличать
distribution,распределение
stress distribution,распределение напряжения
distribution by age groups,распределение по возрастным группам
disturbance,нарушение
disturbed structure,нарушенная структура (проба)
ditch,"канава, траншея"
divergence,расхождение
diversify,"варьировать, диверсифицировать"
diversion canal,деривационный канал
diversion of run-off,переброска стока
dividing the soil column,расчленение разреза
subdivision of geological profile,расчленение разреза
dolomite,доломит
dome,"свод, купол"
domestic waste,бытовые отходы
dominant,преобладающий
dose,доза
dose meter,дозиметр
dosimetric,дозиметрический
double-tube swivel-type core barrels,двойная колонковая труба с неподвижной внутренней керноприемной трубой
downcut,врез
downstream pool,нижний бьеф
drain,дрена
drainage,дренаж
radial drainage,дренаж радиальный
drainage,осушение
drainage area,площадь водосбора
drainage pattern,рисунок речной сети
drainage system,"дренажная система, водоотвод"
drawdown of ground water level,понижение уровня подземных вод
dredger,драга
drift,"штрек, штольня"
drift bed,делювий (наносы)
drift ice,дрейфующий лед
drilling fluid,буровой раствор (промывочная жидкость)
drilling mud,буровой раствор (промывочная жидкость)
drilling platform,буровая платформа
drilling unit,буровая установка (вышка)
rig,буровая установка (вышка)
drive,приводить в движение
drive point,наконечник (зонда)
to drive in,проходить (скважину)
driving hammer,свайный молот
driving rod,забивной зонд
drizzle,морось
drop-fill,наброска
drop hammer,падающий молот
dross,шлак
«drunken» forest,пьяный лес
dry density,плотность сухого грунта
dump,"свалка, отвал"
dumping,опрокидывание
dune,дюна
duplication,дублирование
duration,"длительность, продолжительность"
dust,пыль
dusting,пыление
dye,краситель
dye tracking,окрашивание
dynamic ground water resources,динамические ресурсы подземных вод
dynamic level,динамический уровень
dynamic sounding,динамическое зондирование
dynamic probing test,динамическое зондирование
dynamic tests,динамические испытания
dynamics,динамика
dynamics of population,динамика населения
Earth crust movements,движения земной коры
earth-fill,насыпной грунт
earth fill dam,земляная плотина
earthflow,сель
earthquake,землетрясение
earthquake source,очаг (землетрясения)
earthquake sources zone,зона возникновения землетрясений (зона ВОЗ)
easily soluble salts,легко растворимые соли
"ebb, ebb-tide",отлив
eccentricity,эксцентриситет
echo sounder,эхолокатор
ecological,экологический
ecological well-being,экологическое благополучие
ecological feasibility,экологическое обоснование
ecosystem,экосистема
edge,край
edge stress,краевое давление
effective porosity,эффективная пористость
efficiency,эффективность
effective,эффективный
effective diameter,эффективный диаметр
efficient land use,рациональное использование земель
effusive,эффузивная порода
elaborate,"разрабатывать (документ, метод)"
elastic limit,предел упругости
elasticity,упругость
elastic constants,упругие константы
elastic heave,упругое разуплотнение
elastic limit,предел упругости
elastic modulus,модуль упругости
electric conductivity,электропроводность
electric prospecting,электроразведка
electric resistance,электросопротивление
apparent resistivity,кажущееся электросопротивление
electrical logging,электрокаротаж
electrical transmission line (power transmission line),линия электропередачи
electro-chemical method of rock consolidation,электрохимическое закрепление
electrode,электрод
electromagnetic,электромагнитный
electro-osmosis,электроосмос
elevation,"возвышение, высота"
elongation,"продление, растяжение, удлинение"
eluvium,элювий
residual deposits,элювий
residual soil,элювий
embacle,торос
embankment,"насыпь, набережная"
emergency,"авария, аварийный, экстренный, непредвиденный (случай, ситуация)"
emergency plan,план эвакуации; emergency planning zone,зона планирования мероприятий по обязательной эвакуации населения
emission,"эмиссия, выброс"
emission inventory,инвентаризация (выбросов)
emitter,излучатель
empirical,эмпирический
end moraine,конечная морена
endangered species,исчезающий вид
engineering ecological investigations,инженерно-экологические изыскания
engineering geodetic investigations,инженерно-геодезические изыскания
engineering geological investigations,инженерно-геологические изыскания
engineering-geological processes,инженерно-геологические процессы
engineering geology,инженерная геология
engineering hydrological and meteorological investigations,инженерно-гидрометеорологические изыскания
engineering protection,инженерная защита
engineering site investigations,инженерные изыскания на площадке
enhance,"усиливать, увеличивать"
ensure,обеспечивать
enterprise,предприятие
entrails,недра
entry into force,ввод в действие
environment,окружающая (природная) среда
environment parameter,параметр окружающей среды
environmental components,компоненты окружающей среды
environmental impact,воздействие на окружающую среду
environmental restoration,восстановление окружающей среды
eolian deposits,эоловые отложения
eolian topography,эоловые формы рельефа
ephemeral stream,временный водоток
epicenter,эпицентр
epidemiological research,эпидемиологические исследования
epidemiological hygiene research,санитарно-эпидемиологические исследования
epigenesis,эпигенез
equipment,"оборудование, аппаратура"
equipment installation,установка аппаратуры
equipotential lines,эквипотенциальные линии
equivalent,эквивалентный
gamma equivalent dose,эквивалентная доза гамма излучения
erosion,эрозия
linear erosion,линейная
surface erosion,плоскостная
erosion base level,базис эрозии
erosion rate,скорость эрозии
eruption,"извержение, выброс"
establish,устанавливать
estimation,"оценка, расчет"
estuary,эстуарий
eutrophication,эвтрофикация
evacuation,эвакуация
evaluation,оценка
evaporation,испарение
evaporation residue,сухой остаток
evidence,свидетельство
excavation,котлован
excavation works,земляные работы
excess,избыточный
excess excavation,перебор грунта (в котловане)
excess pore-water pressure,избыточное поровое давление
"exclusion area, exclusion zone",запретная зона
exhaust smoke,"выхлоп, выпуск (отработанных газов)"
"expansion, extension",расширение
explanation,условные обозначения
explication,условные обозначения
explosion,взрыв
explosive substance,взрывчатое вещество
exaration,экзарация
glacial erosion,экзарация
exogenic,экзогенный процесс
exogenous process,экзогенный процесс
expansion,"расширение, подъем, пучение (вспучивание)"
expertise (expert examination),экспертиза
state expert examination of design,государственная экспертиза проекта
exploitation peculiarities,особенности эксплуатации
extansion,растяжение
tension,растяжение
elongation,растяжение
stretching,растяжение
extending,"распространение, растяжение, удлинение"
extent,протяженность
extract,извлекать
extreme conditions,экстремальные условия
extrusion,выдавливание
extrusive rock,эффузивная порода
facies,фация
facility,"сооружение (предприятие, оборудование, приспособление)"
industrial facility,промышленное предприятие
water and waste water facilities,водоснабжение и канализация
factor,"фактор, коэффициент"
factor analysis,факторный анализ
factor of safety,коэффициент устойчивости (склона)
safety factor of stability,коэффициент запаса устойчивости (прочности)
failure,"разрушение, обрушение"
falling,"падение, вырубка"
fallout,выпадение
fatigue,усталость материала
fault,"разлом, разрыв"
fracture,"разлом, разрыв"
rupture,"разлом, разрыв"
auxiliary fracture,оперяющий разлом
fault displacement,смещение по разлому
fauna,фауна
feasibility,"выполнимость, осуществимость"
fence,ограда
fertile soils,плодородные почвы
fertillizer,удобрение
field,поле
field plotting,картирование
field sketching,глазомерная съемка
field tests,полевые испытания
field works,полевые работы
fill ground,насыпной грунт
filling layer,насыпной слой
filtration,фильтрация
filtration properties,фильтрационные свойства
filtration rate,скорость фильтрации
strainer,фильтр
well screen,фильтр
inverted filter,обратный фильтр
fine,мелкий
fine grained,мелкозернистый
fir,"пихта, ель"
fireproof,противопожарный
first arrival,первое вступление (сейсмической волны)
fish pass,рыбопропускное устройство
fission,расщепление
fissure,трещина
fixed,фиксированный
fixing of geodetic points,закрепление геодезических знаков
fixing of slopes,"закрепление склонов, откосов"
fixing on the terrain,закрепление на местности
flaking roof,"осыпание, обрушение кровли"
flaking,"осыпание, обрушение"
flammable substance,"горючее, легко воспламеняющееся вещество"
flank of a fold,крыло складки
flattening,выполаживание
flexible,гибкий
flexure,флексура
flight,полет
flint,кремень
flood,"паводок, наводнение, затопление"
flooding,"паводок, наводнение, затопление"
"floodland, floodplain",пойма
floor of seam,подошва пласта
flora,"флора, растительность"
flow,"поток, течь, течение"
flowmeter,расходомер
flow slide,оползень течения
fluctuation,"флуктуация, колебание, качание"
"fluidity, flow",текучесть
fluvioglacial deposits,флювиогляциальные отложения
flying objects,летающие объекты
flying sands,эоловые пески
"flyshc, flysh",флиш
fold,складка
inclined,наклонная
isoclinal,изоклинальная
